cell_label	Estimated_class	Prob	Best_class	Actual_class	Actual==Best_class	top5_genes	top5_gene_counts	closest_cell_labels	closest_cell_classes	dist
24	['046 Vip Gaba']	[1.0]	046 Vip Gaba	338 Lymphoid NN	False	['Cxcl14', 'Cnr1', 'Cadps2', 'Thsd7a', 'Cplx2']	[18.61, 13.789, 8.479, 8.14, 12.329]	[25, 17, 23, 31, 30, 32]	['047 Sncg Gaba', '004 L6 IT CTX Glut', '329 ABC NN', '333 Endo NN', '017 CA3 Glut', '319 Astro-TE NN']	[36.12, 36.88, 37.95, 39.0, 50.95, 51.88]
32	['046 Vip Gaba']	[1.0]	046 Vip Gaba	319 Astro-TE NN	False	['Synpr', 'Cadps2', 'Cnr1', 'Sema3c', 'Rab3c']	[10.84, 9.22, 9.25, 7.559, 8.67]	[31, 33, 25, 38, 26, 24]	['333 Endo NN', '037 DG Glut', '047 Sncg Gaba', '335 BAM NN', '046 Vip Gaba', '338 Lymphoid NN']	[36.35, 37.64, 38.28, 51.0, 51.26, 51.88]
5	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	336 Monocytes NN	False	['Cnr1', 'Zbtb20', 'Sema5a', 'Thsd7a', 'Col25a1']	[15.09, 25.1, 6.15, 6.4, 5.69]	[6, 4, 12, 11, 13, 3]	['038 DG-PIR Ex IMN', '048 RHP-COA Ndnf Gaba', '032 L5 NP CTX Glut', '319 Astro-TE NN', '053 Sst Gaba', '333 Endo NN']	[36.67, 37.36, 44.41, 50.92, 54.0, 72.34]
11	['326 OPC NN']	[1.0]	326 OPC NN	319 Astro-TE NN	False	['Nxph1', 'Grik1', 'Kcnip1', 'Gad1', 'Rab3c']	[12.39, 8.439, 5.099, 7.099, 6.07]	[10, 4, 18, 12, 5, 3]	['335 BAM NN', '048 RHP-COA Ndnf Gaba', '326 OPC NN', '032 L5 NP CTX Glut', '336 Monocytes NN', '333 Endo NN']	[36.01, 37.64, 45.0, 45.0, 50.92, 51.54]
14	['036 HPF CR Glut']	[1.0]	036 HPF CR Glut	331 Peri NN	False	['Cdh13', 'Rab3c', 'Nxph1', 'Pcp4', 'Grik1']	[8.119, 16.11, 10.93, 5.84, 8.67]	[7, 13, 21, 6, 20, 28]	['337 DC NN', '053 Sst Gaba', '022 L5 ET CTX Glut', '038 DG-PIR Ex IMN', '004 L6 IT CTX Glut', '056 Sst Chodl Gaba']	[36.01, 37.11, 38.63, 50.95, 51.07, 72.34]
16	['049 Lamp5 Gaba']	[1.0]	049 Lamp5 Gaba	036 HPF CR Glut	False	['Gad2', 'Bcl11b', 'Gad1', 'Rab3c', 'Nxph1']	[17.309, 8.22, 9.899, 16.68, 10.31]	[17, 15, 9, 23, 24, 22]	['046 Vip Gaba', '025 CA2-FC-IG Glut', '050 Lamp5 Lhx6 Gaba', '052 Pvalb Gaba', '338 Lymphoid NN', '037 DG Glut']	[36.06, 36.35, 41.18, 41.18, 51.39, 53.37]
24	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	338 Lymphoid NN	False	['Thsd7a', 'Pde1a', 'Pcp4', 'Kcnd3', 'Grik1']	[8.68, 7.789, 9.59, 3.14, 4.329]	[25, 31, 17, 23, 30, 32]	['030 L6 CT CTX Glut', '031 CT SUB Glut', '046 Vip Gaba', '052 Pvalb Gaba', '051 Pvalb chandelier Gaba', '327 Oligo NN']	[36.12, 36.5, 37.11, 38.28, 50.95, 50.95]
1	['038 DG-PIR Ex IMN', '006 L4/5 IT CTX Glut', '037 DG Glut']	[0.972, 0.025, 0.003]	038 DG-PIR Ex IMN	338 Lymphoid NN	False	['Pde1a', 'C1ql3', 'Tafa1', 'Snca', 'Pcp4']	[19.27, 10.609, 7.639, 9.51, 8.31]	[8, 2, 9, 3, 15, 16]	['022 L5 ET CTX Glut', '016 CA1-ProS Glut', '051 Pvalb chandelier Gaba', '017 CA3 Glut', '037 DG Glut', '025 CA2-FC-IG Glut']	[36.88, 37.64, 52.31, 72.25, 73.76, 81.12]
12	['046 Vip Gaba', '038 DG-PIR Ex IMN']	[0.578, 0.422]	046 Vip Gaba	038 DG-PIR Ex IMN	False	['Nxph1', 'Gad2', 'Kit', 'Npy', 'Cck']	[11.399, 7.05, 5.53, 4.75, 5.26]	[5, 11, 19, 13, 18, 4]	['330 VLMC NN', '335 BAM NN', '006 L4/5 IT CTX Glut', '049 Lamp5 Gaba', '053 Sst Gaba', '046 Vip Gaba']	[36.06, 36.22, 37.36, 38.28, 51.07, 52.31]
23	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	045 OB-STR-CTX Inh IMN	False	['Cnr1', 'Col25a1', 'Nrgn', 'Cck', 'Cplx2']	[42.939, 13.31, 19.079, 12.659, 9.399]	[22, 30, 24, 16, 31, 15]	['337 DC NN', '326 OPC NN', '047 Sncg Gaba', '025 CA2-FC-IG Glut', '336 Monocytes NN', '037 DG Glut']	[36.01, 36.06, 36.5, 40.71, 51.39, 51.39]
31	['046 Vip Gaba']	[1.0]	046 Vip Gaba	336 Monocytes NN	False	['Cnr1', 'Serpini1', 'Col25a1', 'Reln', 'Grik1']	[55.319, 13.39, 8.819, 6.69, 7.11]	[32, 30, 24, 38, 37, 23]	['333 Endo NN', '326 OPC NN', '047 Sncg Gaba', '319 Astro-TE NN', '048 RHP-COA Ndnf Gaba', '045 OB-STR-CTX Inh IMN']	[36.67, 37.11, 38.28, 40.71, 51.26, 51.39]
6	['045 OB-STR-CTX Inh IMN']	[1.0]	045 OB-STR-CTX Inh IMN	038 DG-PIR Ex IMN	False	['Nxph1', 'Gad2', 'Kcnip1', 'Gad1', 'Slc6a1']	[10.13, 7.329, 6.349, 8.479, 10.329]	[13, 5, 7, 14, 12, 4]	['052 Pvalb Gaba', '333 Endo NN', '049 Lamp5 Gaba', '337 DC NN', '332 SMC NN', '329 ABC NN']	[36.06, 36.22, 39.0, 51.26, 51.88, 72.03]
14	['050 Lamp5 Lhx6 Gaba', '049 Lamp5 Gaba']	[0.999, 0.001]	050 Lamp5 Lhx6 Gaba	337 DC NN	False	['Nxph1', 'Gad2', 'Grik1', 'Rab3c', 'Npy']	[19.079, 14.899, 17.59, 18.299, 12.619]	[13, 7, 21, 20, 6, 28]	['052 Pvalb Gaba', '049 Lamp5 Gaba', '050 Lamp5 Lhx6 Gaba', '017 CA3 Glut', '038 DG-PIR Ex IMN', '037 DG Glut']	[36.88, 37.11, 41.18, 50.95, 51.26, 72.34]
23	['031 CT SUB Glut']	[1.0]	031 CT SUB Glut	030 L6 CT CTX Glut	False	['Zbtb20', 'Grin3a', 'Aldoc', 'Plp1', 'Ntng1']	[17.489, 3.509, 5.32, 13.38, 3.13]	[24, 16, 22, 30, 15, 29]	['319 Astro-TE NN', '335 BAM NN', '022 L5 ET CTX Glut', '025 CA2-FC-IG Glut', '327 Oligo NN', '005 L5 IT CTX Glut']	[36.22, 36.5, 36.88, 39.4, 51.0, 52.8]
24	['326 OPC NN']	[1.0]	326 OPC NN	319 Astro-TE NN	False	['Pde1a', 'Nxph1', 'Cdh13', 'Pcp4', 'Snca']	[10.75, 7.599, 9.229, 7.619, 8.89]	[23, 31, 25, 17, 32, 16]	['030 L6 CT CTX Glut', '004 L6 IT CTX Glut', '046 Vip Gaba', '031 CT SUB Glut', '006 L4/5 IT CTX Glut', '335 BAM NN']	[36.22, 38.28, 42.19, 42.19, 50.92, 50.95]
34	['338 Lymphoid NN']	[1.0]	338 Lymphoid NN	336 Monocytes NN	False	['Zbtb20', 'Meis2', 'Tyrobp', 'Bcl11b', 'Itgam']	[17.54, 8.01, 2.4, 1.07, 0.0]	[33, 35, 27, 28, 26, 32]	['326 OPC NN', '045 OB-STR-CTX Inh IMN', '330 VLMC NN', '037 DG Glut', '032 L5 NP CTX Glut', '006 L4/5 IT CTX Glut']	[36.01, 38.63, 39.0, 51.39, 56.72, 72.84]
38	['004 L6 IT CTX Glut', '006 L4/5 IT CTX Glut']	[0.995, 0.005]	004 L6 IT CTX Glut	338 Lymphoid NN	False	['Neurod6', 'Tafa1', 'C1ql3', 'Cdh13', 'Cck']	[10.93, 11.38, 9.14, 7.55, 8.21]	[31, 37, 32, 30, 36, 24]	['004 L6 IT CTX Glut', '016 CA1-ProS Glut', '006 L4/5 IT CTX Glut', '025 CA2-FC-IG Glut', '334 Microglia NN', '319 Astro-TE NN']	[36.05, 37.36, 52.31, 59.61, 72.06, 72.83]
6	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	045 OB-STR-CTX Inh IMN	False	['Nrgn', 'Cnr1', 'Col25a1', 'Enc1', 'Pcp4']	[24.0, 8.369, 4.619, 4.539, 9.01]	[7, 13, 5, 14, 12, 4]	['022 L5 ET CTX Glut', '338 Lymphoid NN', '050 Lamp5 Lhx6 Gaba', '053 Sst Gaba', '047 Sncg Gaba', '005 L5 IT CTX Glut']	[36.5, 36.5, 42.72, 51.26, 51.88, 72.11]
9	['046 Vip Gaba']	[1.0]	046 Vip Gaba	331 Peri NN	False	['Cnr1', 'Cadps2', 'Col25a1', 'Gad2', 'Kcnip1']	[33.63, 15.329, 14.31, 9.609, 8.369]	[2, 16, 10, 8, 1, 3]	['334 Microglia NN', '048 RHP-COA Ndnf Gaba', '329 ABC NN', '032 L5 NP CTX Glut', '017 CA3 Glut', '049 Lamp5 Gaba']	[36.12, 36.22, 36.5, 39.81, 51.39, 51.54]
11	['017 CA3 Glut']	[1.0]	017 CA3 Glut	319 Astro-TE NN	False	['Cnr1', 'Nrgn', 'Col25a1', 'Cck', 'Cadps2']	[42.9, 60.13, 16.229, 14.029, 11.68]	[10, 12, 18, 4, 5, 3]	['329 ABC NN', '047 Sncg Gaba', '007 L2/3 IT CTX Glut', '005 L5 IT CTX Glut', '050 Lamp5 Lhx6 Gaba', '049 Lamp5 Gaba']	[36.22, 36.22, 36.35, 37.36, 51.7, 54.0]
13	['046 Vip Gaba']	[1.0]	046 Vip Gaba	338 Lymphoid NN	False	['Cnr1', 'Cadps2', 'Cck', 'Synpr', 'Rab3c']	[41.0, 18.69, 21.04, 15.34, 18.6]	[14, 12, 6, 20, 21, 7]	['053 Sst Gaba', '047 Sncg Gaba', '045 OB-STR-CTX Inh IMN', '046 Vip Gaba', '056 Sst Chodl Gaba', '022 L5 ET CTX Glut']	[36.0, 36.22, 36.5, 39.4, 50.92, 52.31]
23	['017 CA3 Glut', '005 L5 IT CTX Glut']	[0.996, 0.004]	017 CA3 Glut	030 L6 CT CTX Glut	False	['Thsd7a', 'Cnr1', 'Ntng1', 'Synpr', 'Slc6a1']	[24.17, 47.45, 6.699, 5.469, 5.75]	[24, 22, 16, 30, 29, 15]	['326 OPC NN', '332 SMC NN', '048 RHP-COA Ndnf Gaba', '051 Pvalb chandelier Gaba', '335 BAM NN', '037 DG Glut']	[36.01, 36.22, 38.28, 40.25, 51.0, 51.7]
38	['338 Lymphoid NN']	[1.0]	338 Lymphoid NN	336 Monocytes NN	False	['Prkca', 'Zbtb20', 'Pcp4', 'Rras2', 'Tafa1']	[18.479, 17.069, 11.239, 1.94, 3.869]	[37, 31, 30, 32, 24, 36]	['025 CA2-FC-IG Glut', '038 DG-PIR Ex IMN', '051 Pvalb chandelier Gaba', '029 L6b CTX Glut', '326 OPC NN', '052 Pvalb Gaba']	[36.35, 37.95, 51.39, 53.37, 72.69, 72.69]
16	['046 Vip Gaba']	[1.0]	046 Vip Gaba	036 HPF CR Glut	False	['Gad1', 'Snca', 'Cnr1', 'Rasgrf2', 'Lgi2']	[18.299, 10.38, 16.68, 5.489, 6.269]	[9, 23, 17, 15, 8, 24]	['334 Microglia NN', '333 Endo NN', '051 Pvalb chandelier Gaba', '048 RHP-COA Ndnf Gaba', '022 L5 ET CTX Glut', '332 SMC NN']	[36.5, 37.64, 37.95, 39.0, 51.16, 51.26]
18	['006 L4/5 IT CTX Glut', '005 L5 IT CTX Glut', '004 L6 IT CTX Glut']	[0.595, 0.394, 0.011]	006 L4/5 IT CTX Glut	004 L6 IT CTX Glut	False	['Thsd7a', 'C1ql3', 'Tshz2', 'Cck', 'Slc17a6']	[12.689, 5.949, 1.7, 1.98, 1.0]	[11, 17, 19, 25, 12, 24]	['330 VLMC NN', '051 Pvalb chandelier Gaba', '336 Monocytes NN', '335 BAM NN', '319 Astro-TE NN', '332 SMC NN']	[36.06, 36.06, 36.22, 36.5, 50.95, 51.07]
19	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	336 Monocytes NN	False	['Synpr', 'Enc1', 'Cplx2', 'Kcnk2', 'Zbtb20']	[12.85, 7.219, 12.159, 3.25, 13.5]	[18, 12, 26, 20, 11, 27]	['004 L6 IT CTX Glut', '319 Astro-TE NN', '037 DG Glut', '046 Vip Gaba', '330 VLMC NN', '005 L5 IT CTX Glut']	[36.22, 36.5, 36.67, 36.88, 50.95, 51.16]
24	['327 Oligo NN']	[1.0]	327 Oligo NN	332 SMC NN	False	['Plp1', 'Slc6a1', 'Apoe', 'Mobp', 'Fos']	[292.13, 9.96, 9.989, 7.4, 0.0]	[31, 25, 17, 23, 18, 32]	['327 Oligo NN', '335 BAM NN', '051 Pvalb chandelier Gaba', '333 Endo NN', '004 L6 IT CTX Glut', '031 CT SUB Glut']	[36.06, 36.06, 36.5, 39.81, 51.07, 51.16]
25	['031 CT SUB Glut']	[1.0]	031 CT SUB Glut	335 BAM NN	False	['Parm1', 'Nrn1', 'Plp1', 'Nwd2', 'Pde1a']	[7.48, 8.3, 50.93, 6.32, 8.489]	[24, 32, 18, 26, 33, 31]	['332 SMC NN', '031 CT SUB Glut', '004 L6 IT CTX Glut', '037 DG Glut', '029 L6b CTX Glut', '327 Oligo NN']	[36.06, 36.12, 36.5, 39.81, 50.92, 51.07]
30	['327 Oligo NN']	[1.0]	327 Oligo NN	038 DG-PIR Ex IMN	False	['Plp1', 'Ptgds', 'Olig1', 'Mobp', 'Nxph1']	[267.19, 18.2, 4.34, 7.489, 5.909]	[37, 31, 29, 23, 36, 24]	['329 ABC NN', '327 Oligo NN', '049 Lamp5 Gaba', '333 Endo NN', '006 L4/5 IT CTX Glut', '332 SMC NN']	[36.0, 38.63, 41.68, 48.84, 51.16, 53.37]
38	['327 Oligo NN']	[1.0]	327 Oligo NN	326 OPC NN	False	['Plp1', 'Ptgds', 'Mobp', 'Tafa1', 'Cdh13']	[260.48, 9.899, 7.969, 0.079, 0.0]	[31, 37, 32, 30, 24, 36]	['327 Oligo NN', '329 ABC NN', '031 CT SUB Glut', '038 DG-PIR Ex IMN', '332 SMC NN', '006 L4/5 IT CTX Glut']	[39.81, 47.51, 51.88, 59.61, 73.55, 76.55]
4	['038 DG-PIR Ex IMN']	[1.0]	038 DG-PIR Ex IMN	338 Lymphoid NN	False	['Cnr1', 'Kcnd3', 'Synpr', 'Gad1', 'Col25a1']	[35.639, 10.56, 7.86, 10.529, 5.32]	[5, 3, 11, 12, 10, 18]	['332 SMC NN', '336 Monocytes NN', '047 Sncg Gaba', '037 DG Glut', '004 L6 IT CTX Glut', '022 L5 ET CTX Glut']	[36.0, 36.67, 39.0, 54.7, 55.46, 72.0]
19	['048 RHP-COA Ndnf Gaba']	[1.0]	048 RHP-COA Ndnf Gaba	036 HPF CR Glut	False	['Nxph1', 'Slc6a1', 'Cxcl14', 'Cnr1', 'Gad2']	[18.729, 23.079, 9.01, 21.729, 9.039]	[12, 26, 20, 18, 11, 27]	['037 DG Glut', '052 Pvalb Gaba', '006 L4/5 IT CTX Glut', '022 L5 ET CTX Glut', '047 Sncg Gaba', '051 Pvalb chandelier Gaba']	[36.22, 36.67, 37.11, 39.4, 50.92, 50.95]
23	['016 CA1-ProS Glut']	[0.999]	016 CA1-ProS Glut	337 DC NN	False	['Pcp4', 'Pde1a', 'Col25a1', 'Nrn1', 'Snca']	[39.59, 21.989, 15.239, 14.72, 15.909]	[22, 30, 24, 16, 15, 31]	['056 Sst Chodl Gaba', '005 L5 IT CTX Glut', '007 L2/3 IT CTX Glut', '017 CA3 Glut', '050 Lamp5 Lhx6 Gaba', '029 L6b CTX Glut']	[36.0, 36.0, 36.67, 40.71, 51.0, 51.26]
32	['046 Vip Gaba']	[1.0]	046 Vip Gaba	334 Microglia NN	False	['Pcp4', 'Serpini1', 'Cxcl14', 'Rgs12', 'Grik1']	[29.94, 15.859, 12.3, 10.59, 11.289]	[25, 33, 31, 38, 26, 24]	['048 RHP-COA Ndnf Gaba', '046 Vip Gaba', '029 L6b CTX Glut', '025 CA2-FC-IG Glut', '052 Pvalb Gaba', '007 L2/3 IT CTX Glut']	[36.35, 37.36, 39.4, 51.16, 51.89, 53.08]
3	['031 CT SUB Glut']	[0.999]	031 CT SUB Glut	331 Peri NN	False	['Pcp4', 'Hs3st2', 'Rab3c', 'Gda', 'Nrgn']	[22.489, 8.399, 13.42, 8.84, 21.17]	[2, 4, 10, 11, 9, 1]	['022 L5 ET CTX Glut', '005 L5 IT CTX Glut', '025 CA2-FC-IG Glut', '006 L4/5 IT CTX Glut', '030 L6 CT CTX Glut', '319 Astro-TE NN']	[36.06, 37.64, 40.25, 51.7, 55.07, 72.84]
9	['031 CT SUB Glut', '030 L6 CT CTX Glut']	[0.934, 0.066]	031 CT SUB Glut	030 L6 CT CTX Glut	False	['Ntng1', 'Cpne7', 'Zbtb20', 'Parm1', 'Prkca']	[7.57, 4.17, 20.93, 7.719, 26.309]	[10, 8, 2, 16, 17, 1]	['025 CA2-FC-IG Glut', '038 DG-PIR Ex IMN', '022 L5 ET CTX Glut', '326 OPC NN', '017 CA3 Glut', '319 Astro-TE NN']	[36.12, 36.88, 40.71, 42.72, 51.54, 51.88]
20	['056 Sst Chodl Gaba']	[1.0]	056 Sst Chodl Gaba	336 Monocytes NN	False	['Sst', 'Nos1', 'Pcp4', 'Gad1', 'Bcl11b']	[42.11, 26.489, 18.69, 9.699, 7.179]	[19, 21, 27, 13, 26, 28]	['056 Sst Chodl Gaba', '016 CA1-ProS Glut', '333 Endo NN', '036 HPF CR Glut', '045 OB-STR-CTX Inh IMN', '327 Oligo NN']	[36.22, 36.88, 40.25, 44.41, 50.92, 51.88]
25	['048 RHP-COA Ndnf Gaba', '046 Vip Gaba']	[0.904, 0.096]	048 RHP-COA Ndnf Gaba	337 DC NN	False	['Cnr1', 'Cplx2', 'Cadps2', 'Grik1', 'Cck']	[41.49, 36.319, 18.549, 17.549, 18.159]	[24, 32, 26, 18, 31, 17]	['047 Sncg Gaba', '048 RHP-COA Ndnf Gaba', '045 OB-STR-CTX Inh IMN', '334 Microglia NN', '032 L5 NP CTX Glut', '017 CA3 Glut']	[36.01, 36.88, 39.0, 42.19, 51.26, 51.39]
30	['046 Vip Gaba']	[1.0]	046 Vip Gaba	335 BAM NN	False	['Pcp4', 'Slc6a1', 'Cdh13', 'Cplx2', 'Kcnip1']	[17.139, 10.149, 7.76, 13.05, 6.65]	[37, 31, 23, 29, 36, 22]	['046 Vip Gaba', '032 L5 NP CTX Glut', '052 Pvalb Gaba', '004 L6 IT CTX Glut', '053 Sst Gaba', '029 L6b CTX Glut']	[36.22, 36.22, 38.63, 46.23, 50.92, 51.7]
38	['046 Vip Gaba']	[1.0]	046 Vip Gaba	338 Lymphoid NN	False	['Cnr1', 'Grik1', 'Thsd7a', 'Cadps2', 'Snca']	[18.53, 8.869, 5.21, 4.769, 6.619]	[31, 37, 32, 30, 24, 36]	['032 L5 NP CTX Glut', '046 Vip Gaba', '048 RHP-COA Ndnf Gaba', '335 BAM NN', '047 Sncg Gaba', '053 Sst Gaba']	[41.18, 41.18, 51.26, 56.28, 73.16, 75.58]
2	['052 Pvalb Gaba', '326 OPC NN']	[0.964, 0.036]	052 Pvalb Gaba	333 Endo NN	False	['Nxph1', 'Rab3c', 'Sema5a', 'Sst', 'Grik1']	[25.049, 19.1, 12.829, 10.619, 9.619]	[1, 9, 3, 8, 10, 16]	['037 DG Glut', '052 Pvalb Gaba', '053 Sst Gaba', '326 OPC NN', '031 CT SUB Glut', '022 L5 ET CTX Glut']	[36.01, 36.12, 36.12, 51.07, 55.87, 72.06]
17	['053 Sst Gaba']	[1.0]	053 Sst Gaba	045 OB-STR-CTX Inh IMN	False	['Sst', 'Nrgn', 'Col25a1', 'Crhbp', 'Nos1']	[25.299, 26.399, 11.05, 9.89, 10.3]	[10, 18, 24, 16, 25, 23]	['031 CT SUB Glut', '056 Sst Chodl Gaba', '051 Pvalb chandelier Gaba', '022 L5 ET CTX Glut', '338 Lymphoid NN', '006 L4/5 IT CTX Glut']	[36.01, 36.35, 39.4, 41.68, 51.0, 51.07]
25	['053 Sst Gaba']	[1.0]	053 Sst Gaba	338 Lymphoid NN	False	['Sst', 'Crhbp', 'Nxph1', 'Pcp4', 'Slc6a1']	[22.69, 12.739, 13.34, 19.92, 13.399]	[18, 24, 26, 32, 31, 17]	['056 Sst Chodl Gaba', '051 Pvalb chandelier Gaba', '016 CA1-ProS Glut', '005 L5 IT CTX Glut', '336 Monocytes NN', '045 OB-STR-CTX Inh IMN']	[36.88, 40.71, 41.68, 42.19, 50.91, 51.0]
27	['046 Vip Gaba']	[1.0]	046 Vip Gaba	337 DC NN	False	['Cnr1', 'Synpr', 'Rab3c', 'Kcnip1', 'Gad2']	[31.729, 14.63, 16.459, 9.489, 10.539]	[28, 26, 34, 20, 19, 33]	['048 RHP-COA Ndnf Gaba', '016 CA1-ProS Glut', '330 VLMC NN', '046 Vip Gaba', '329 ABC NN', '334 Microglia NN']	[36.67, 36.88, 38.28, 38.28, 50.91, 50.91]
31	['006 L4/5 IT CTX Glut']	[1.0]	006 L4/5 IT CTX Glut	336 Monocytes NN	False	['Sv2b', 'Pde1a', 'Pcp4', 'Etv1', 'Tafa1']	[10.05, 10.93, 7.869, 4.76, 4.76]	[30, 38, 24, 32, 25, 23]	['030 L6 CT CTX Glut', '036 HPF CR Glut', '051 Pvalb chandelier Gaba', '005 L5 IT CTX Glut', '338 Lymphoid NN', '006 L4/5 IT CTX Glut']	[36.12, 38.27, 40.71, 42.19, 50.91, 51.39]
11	['046 Vip Gaba', '049 Lamp5 Gaba']	[0.996, 0.003]	046 Vip Gaba	319 Astro-TE NN	False	['Gad2', 'Npy', 'Kit', 'Cnr1', 'Rab3c']	[18.629, 12.85, 5.03, 6.429, 7.019]	[12, 10, 4, 18, 3, 5]	['336 Monocytes NN', '052 Pvalb Gaba', '330 VLMC NN', '049 Lamp5 Gaba', '016 CA1-ProS Glut', '006 L4/5 IT CTX Glut']	[36.88, 37.11, 37.36, 37.95, 51.26, 51.54]
12	['046 Vip Gaba']	[1.0]	046 Vip Gaba	336 Monocytes NN	False	['Cnr1', 'Gad2', 'Cadps2', 'Gad1', 'Trp53i11']	[20.709, 11.029, 7.239, 7.42, 5.65]	[13, 11, 19, 5, 4, 18]	['338 Lymphoid NN', '319 Astro-TE NN', '047 Sncg Gaba', '006 L4/5 IT CTX Glut', '330 VLMC NN', '049 Lamp5 Gaba']	[36.01, 36.88, 36.88, 39.4, 50.95, 51.07]
23	['025 CA2-FC-IG Glut']	[1.0]	025 CA2-FC-IG Glut	331 Peri NN	False	['Pcp4', 'Tafa1', 'Snca', 'Slc17a7', 'Cck']	[28.739, 21.979, 18.579, 20.979, 13.27]	[24, 22, 16, 30, 31, 15]	['332 SMC NN', '025 CA2-FC-IG Glut', '326 OPC NN', '017 CA3 Glut', '004 L6 IT CTX Glut', '053 Sst Gaba']	[36.88, 37.11, 37.64, 37.95, 50.95, 51.16]
25	['022 L5 ET CTX Glut']	[1.0]	022 L5 ET CTX Glut	031 CT SUB Glut	False	['Cnr1', 'Reln', 'Ndnf', 'Ntng1', 'Serpine2']	[54.709, 10.579, 8.09, 10.329, 2.97]	[18, 24, 32, 26, 17, 19]	['049 Lamp5 Gaba', '332 SMC NN', '048 RHP-COA Ndnf Gaba', '005 L5 IT CTX Glut', '337 DC NN', '047 Sncg Gaba']	[36.06, 36.22, 37.36, 45.61, 50.91, 50.95]
31	['017 CA3 Glut']	[1.0]	017 CA3 Glut	004 L6 IT CTX Glut	False	['Zbtb20', 'Slc6a1', 'Thsd7a', 'Calb2', 'Kctd12']	[26.459, 17.54, 6.639, 3.94, 5.269]	[32, 24, 38, 30, 23, 25]	['048 RHP-COA Ndnf Gaba', '332 SMC NN', '051 Pvalb chandelier Gaba', '017 CA3 Glut', '331 Peri NN', '031 CT SUB Glut']	[36.0, 36.5, 37.95, 38.63, 50.95, 51.89]
9	['025 CA2-FC-IG Glut']	[1.0]	025 CA2-FC-IG Glut	331 Peri NN	False	['Rab3c', 'Bcl11b', 'Sv2b', 'Ntng1', 'Gda']	[15.079, 10.71, 10.38, 9.42, 7.98]	[8, 2, 16, 10, 3, 15]	['038 DG-PIR Ex IMN', '025 CA2-FC-IG Glut', '048 RHP-COA Ndnf Gaba', '330 VLMC NN', '037 DG Glut', '332 SMC NN']	[36.06, 36.67, 39.4, 42.19, 51.88, 52.31]
11	['005 L5 IT CTX Glut', '006 L4/5 IT CTX Glut']	[0.999, 0.001]	005 L5 IT CTX Glut	006 L4/5 IT CTX Glut	False	['Cryab', 'Plp1', 'Sema5a', 'Qk', 'Nxph1']	[7.17, 32.659, 3.41, 12.51, 5.4]	[4, 10, 12, 18, 17, 19]	['005 L5 IT CTX Glut', '330 VLMC NN', '327 Oligo NN', '052 Pvalb Gaba', '029 L6b CTX Glut', '335 BAM NN']	[36.67, 36.88, 36.88, 42.19, 50.95, 51.0]
19	['326 OPC NN']	[1.0]	326 OPC NN	335 BAM NN	False	['Pde1a', 'Grik1', 'Plp1', 'Grin3a', 'Cdh13']	[24.94, 15.22, 41.229, 7.55, 7.329]	[20, 12, 26, 18, 11, 13]	['056 Sst Chodl Gaba', '327 Oligo NN', '050 Lamp5 Lhx6 Gaba', '052 Pvalb Gaba', '006 L4/5 IT CTX Glut', '004 L6 IT CTX Glut']	[36.0, 36.35, 37.36, 40.71, 51.0, 51.0]
24	['053 Sst Gaba']	[1.0]	053 Sst Gaba	333 Endo NN	False	['Pde1a', 'Thsd7a', 'Reln', 'Gad1', 'Pcp4']	[26.579, 22.159, 16.67, 16.799, 20.129]	[17, 31, 25, 23, 18, 32]	['029 L6b CTX Glut', '051 Pvalb chandelier Gaba', '036 HPF CR Glut', '045 OB-STR-CTX Inh IMN', '052 Pvalb Gaba', '016 CA1-ProS Glut']	[37.36, 37.36, 39.0, 40.71, 51.88, 52.31]
29	['337 DC NN']	[1.0]	337 DC NN	336 Monocytes NN	False	['Prkca', 'Cnr1', 'Id2', 'Ptgds', 'Igfbp5']	[12.52, 10.76, 4.36, 6.869, 7.199]	[30, 22, 36, 23, 37, 31]	['047 Sncg Gaba', '329 ABC NN', '338 Lymphoid NN', '045 OB-STR-CTX Inh IMN', '334 Microglia NN', '051 Pvalb chandelier Gaba']	[36.12, 37.95, 39.81, 50.95, 51.26, 72.34]
16	['053 Sst Gaba', '052 Pvalb Gaba']	[0.98, 0.02]	053 Sst Gaba	335 BAM NN	False	['Nxph1', 'Nos1', 'Pde1a', 'Gad1', 'Gad2']	[21.639, 19.799, 21.549, 20.079, 16.5]	[15, 23, 17, 9, 24, 10]	['049 Lamp5 Gaba', '056 Sst Chodl Gaba', '334 Microglia NN', '319 Astro-TE NN', '037 DG Glut', '005 L5 IT CTX Glut']	[36.0, 36.12, 36.22, 39.0, 51.0, 53.67]
